Title	Year	Genre	Developer	HD / Floppy	PAL / NTSC	Model	Notes	Source	HD install notes	No. of disks (if floppy game)
Lure of the Temptress	1992	Adventure	Revolution	Floppy	PAL	A500	Debugged "VERSION 2" Virgin re-release (1992-08-06). Earlier editions have a game-breaking bug that manifests near the end of the game. Supports 4 floppy drives.	SPS 2030		4
Magnetic Scrolls Collection, The - Vol. 1	1991	Adventure	Magnetic Scrolls	HD	PAL	A500		SPS 0271	Has HD installer.	
Manhunter 2: San Francisco	1989	Adventure	Sierra	HD	NTSC	A500	Has no disk-based protection.	SPS 1199	No HD installer; copied files to HD manually.	
Manhunter: New York	1989	Adventure	Sierra	HD	NTSC	A500	Has no disk-based protection.	SPS 0354	No HD installer; copied files to HD manually.	
Maniac Mansion	1989	Adventure	LucasArts	HD	NTSC	A500	Faster than stock 2x CPU speed results in comically fast (and incorrect) animations. Original retail release. The 1993 Kixx XL re-release has the executable hacked to pass the codebook check, but with a side effect (unable to save).  To start the game, double-click on the ManiacMansion disk icon, then on the Maniac icon.	SPS 1571	Copied files to HD as per instructions.	
Marble Madness	1986	Action	Atari	Floppy	NTSC	A500	Double-click on the MarbleMadness! disk icon, then on the MarbleMadness! icon.	SPS 0013		1
Midwinter	1990	Strategy	Maelstrom	Floppy	NTSC50	A500	Atari ST port. "VR Vol. 1" re-release with the manual-based protection removed.	SPS 1582		1
Mindshadow	1985	Adventure	Interplay	Floppy	NTSC	A500	Saves to the game disk.	SPS 2546		1
Mixed-Up Mother Goose (AGI)	1988	Adventure	Sierra	Floppy	NTSC	A500		"Unofficial" CT-RAW image from the EAB file server		1
Mixed-Up Mother Goose (SCI)	1991	Adventure	Sierra	HD	NTSC	A500	To start the game, double-click on the MotherGoose disk icon, then on the MotherGoose icon. There are two more icons to set Amiga or MT-32 sound before starting the game.	SPS 2608	Has HD installer.	
Monkey Island 2: LeChuck's Revenge	1992	Adventure	LucasArts	HD	NTSC	A500		SPS 0020	Has HD installer.	
Moonstone: A Hard Days Knight	1991	RPG	Mindscape	Floppy	PAL	A500	Hold Esc key while the credits are loading to skip the intro. Supports 3 floppy drives. Needs joystick. Uses CopyLock.  The developers did not have enough time to properly finish the game so it is quite buggy. Certain actions or game events will inevitably result in crashes. The solution is to evade these actions. Use save states a lot, and in time you'll develop a feel for it what triggers the crashes.	SPS 0360		3
Myth (Magnetic Scrolls)	1989	Adventure	Magnetic Scrolls	HD	PAL	A500	Enter LISTER6657 and the VOAPQI for the password at the start, or use the provided save state to skip the code check.	SPS 2455	Copied files to HD as per instructions.	
Neuromancer	1989	Adventure	Interplay	HD	NTSC	A500	Has no disk-based protection as per the manual.  The upper half of the border will disappear when loading a saved game if Fast RAM is present.  The game runs from an emulated hard drive, but it can save to its own specially formatted save disk only. You'll need to put the game disk back into drive DF0: after saving or loading as the game instructs you (this is a form of copy protection).	SPS 2604	No HD installer; copied files to HD manually. The game disk needs to be in DF0:	
North & South	1989	Strategy	Infogrames	Floppy	NTSC50	A500	Needs joystick.	SPS 2397		1
Odyssey	1995	Adventure	Unconscious Minds	Floppy	PAL	A500	Supports 2 floppy drives. Uses CopyLock.	SPS 2854 Version aud304312c (1997-06-02)		2
Operation Stealth	1990	Adventure	Delphine	HD	NTSC50	A500		SPS 1883	Copied files to HD as per instructions.	
Pawn, The	1986	Adventure	Magnetic Scrolls	HD	PAL	A500	Right-click on the top of the screen and drag it down to see the illustrations.	SPS 0709	Copied files to HD as per instructions.	
Perfect General, The	1991	Strategy	White Wolf	HD	NTSC	A500	v1.02 that fixes a number of bugs. Has no disk-based protection. Just press enter at the manual-based check. Includes scenarios from the "World War II Battle Set" scenario disk.	Base game files copied from the Aladin WHDLoad pack (has pre-cracked executable). The WWII scenarios installed using the offical installer from the_perfect_general_world_war_ii_nemesis_fast_eddie.adf	Has HD installer.	
Perihelion	1993	RPG	Morbid Visions	Floppy	PAL	A500	Supports 4 floppy drives.  Information about the spells and runes of the game's PSI-power system are in the manual. This was an anti-piracy measure; it's almost impossible to get through the first battle without this knowledge.  Check out the Extras folder for a comprehensive summary of the PSI-power system compiled by one of the game's authors.	SPS 0799		4
Personal Nightmare	1989	Adventure	Horrorsoft	Floppy	NTSC50	A500	Uses CopyLock.	SPS 2650		3
Pinball Dreams	1992	Action	Digital Illusions	Floppy	PAL	A500	Supports 2 floppy drives.	SPS 0377		2
Pirates!	1990	Strategy	MicroProse	HD	NTSC	A500	To start the game, double-click on the Pirates! disk icon in the middle of the screen (not in the top-right corner), then on the Pirates! icon. Uses CopyLock.	SPS 0552	Has HD installer.	
Pirates! Gold (CD32)	1994	Strategy	MicroProse	CD	NTSC	CD32		TOSEC-ISO Pirates! Gold (1993)(MicroProse)[!]		
Police Quest II: The Vengeance	1990	Adventure	Sierra	HD	NTSC	A500		SPS 1849	Has HD installer.	
Police Quest: In Pursuit of the Death Angel	1987	Adventure	Sierra	HD	NTSC	A500	Budget re-release with the disk-based protection removed.	SPS 2262	No HD installer; copied files to HD manually.	
Pool of Radiance	1990	RPG	SSI	HD	NTSC	A500	Faster than stock A500 CPU speed results in sound corruption and too fast animations.	SPS 0555	Has HD installer.	
Pools of Darkness	1992	RPG	SSI	HD	NTSC	A500		SPS 0984	Has HD installer.	
Populous	1989	Strategy	Bullfrog	Floppy	PAL	A500	Includes the two data disks The Promised Lands and The Final Frontier. Follow the instructions on how to use the data disks (it's complicated), or use the included save states. Uses CopyLock.  To start the game, double-click on the Populous disk icon then, on the appearing image in the window.	SPS 2898 SPS 1217 CT RAW dump Populous-FinalFrontierDisk.7z from the EAB file server		1
Populous II: Trials of the Olympian Gods	1991	Strategy	Bullfrog	HD	PAL	A500	Includes The Challenge Games expansion.  Double-click on the PopulousII HD disk icon in the top-right corner, then double-click on the the PopulousII icon to start the base game, or the Challenge icon to start The Challenge Games expansion. You can also double-click on the credits icons to watch the credits.  Only double-click once on the game icons, then wait (don't keep double-clicking). You might want to enter warp mode (press End+Pause) to speed up the startup process.  Uses CopyLock.	SPS 0079 SPS 2775	Has HD installer.	
Portal: A Computer Novel	1986	Adventure	Nexa	Floppy	NTSC	A500	Saves to game disk. The game will get stuck after entering your name if the disk is write protected.	SPS 1979		3
Ports of Call	1987	Strategy	International Software Development	Floppy	PAL	A500	To start the game, double-click on the PoC disk icon, then on the PortsOfCall icon. Saves to the game disk.	SPS 2489		1
Powermonger	1990	Strategy	Bullfrog	Floppy	PAL	A500		SPS 0081		1
Powermonger: World War 1 Edition	1991	Strategy	Bullfrog	Floppy	PAL	A500	Insert the base game and WW1 data disk when prompted.	SPS 0614		1
Push-Over	1992	Puzzle	Red Rat	Floppy	NTSC	A500	Uses CopyLock.	SPS 1267		1
Quest for Glory I: So You Want to Be A Hero	1990	Adventure	Sierra	HD	NTSC	A500	To start the game, double-click on the QuestForGloryI disk icon, then on the QuestForGloryI icon.	SPS 0795	Has HD installer.	
Quest for Glory II: Trial by Fire	1991	Adventure	Sierra	HD	NTSC	A500	To start the game, double-click on the QuestForGloryII disk icon, then on the QuestForGloryII icon. There are two more icons to set Amiga or MT-32 sound before starting the game.	SPS 1868	Has HD installer.	
Rick Dangerous	1989	Action	Core Design	Floppy	PAL	A500	Uses CopyLock.	SPS 2294		1
Rick Dangerous 2	1990	Action	Core Design	Floppy	PAL	A500	Uses CopyLock.	SPS 1877		1
Rock Star Ate My Hamster	1989	Strategy	Codemasters	Floppy	PAL	A500	Uses CopyLock.	SPS 2459		1
Rogue: The Adventure Game	1986	RPG	A.I. Design	Floppy	NTSC	A500	Reassembled & bugfixed version by dennis2342	Rogue - The Adventure Game (1986)(Epyx)[h titlescreen original colours ross][f denis2342 - Crashdisk].zip from the EAB file server (reassembled & bugfixed version by dennis2342)  More info: https://eab.abime.net/showthread.php?t=113852 https://forum.amiga.org/index.php?&topic=75893.0 https://github.com/denis2342/Rogue		1
Rome AD 92: The Pathway to Power	1992	Adventure	Firstlight	Floppy	PAL	A500	Has a single save slot only (forced “Ironman Mode”); saves the game to the first disk (the boot disk) on quit. You need to delete the save image of the first disk to start a new game.  Supports two floppy drives.	SPS 0780		3
Scapeghost	1989	Adventure	Magnetic Scrolls	HD	PAL	A500		Copied files from the Retroplay WHDLoad version	No HD installer; copied files to HD manually.	
Secret of Monkey Island, The	1990	Adventure	LucasArts	HD	NTSC	A500	8x CPU speed recommended. The game was coded with accelerators in mind; e.g., below 4x CPU speeds, there are no  animated clouds in the intro sequence.  To start the game, double-click on the MonkeyIsland disk icon, then on the MonkeyIsland icon.	SPS 1625	Has HD installer.	
Secret of the Silver Blades	1990	RPG	SSI	HD	NTSC	A500		SPS 0983	Has HD installer.	
Sentinel, The	1988	Puzzle	Geoff Crammond	Floppy	PAL	A500		SPS 3025		1
Settlers, The	1993	Strategy	Blue Byte	HD	PAL	A500		SPS 0143	Has HD installer.	
Seven Cities of Gold	1985	Strategy	Ozark Softscape	Floppy	NTSC	A500		SPS 0908		1
Shadow of the Beast	1989	Action	Reflections	Floppy	PAL	A500	Needs joystick.	SPS 1357		2
Shadowgate	1987	Adventure	ICOM	Floppy	NTSC	A500	Type Save:YourSavegameName in the dialog when saving the game (you can use any name you like after the Save: part).	Abaddon's "unofficial" CT-RAW game & hint disk images.		1
SimCity (CDTV)	1991	Strategy	Maxis	CD	NTSC	CDTV	CD version extras: intro video, CD Audio music, enhanced graphics, all city packs, new scenarios. 	Redump SimCity (Europe) (En,Fr,De,Es,It).zip		
SimCity Collection	1989	Strategy	Maxis	HD	NTSC	A500	"Ultimate" version compiled from the v1.1 and v1.2.2 releases and extras disks. Includes the 16-colour and 64-colour versions, all city packs, the terrain editor, utilities, and all official extra maps.  SimCity512K  Initial 16-colour version (v1.1) for 512K Amigas. Has manual-based copy protection; refer to the protection codes PDF. The first symbol of the 3-symbol codes is in the top right corner of each page.  SimCity1.2  Later 64-colour version (v1.2.2) that requires 1MB RAM. This version has the manual-based copy protection removed by the developer.	SPS 1954 SPS 2192 "SimCity64Complete [Sim City 64EHB Complete HD ready. Please dont sue us )].lha" from the EAB file server (copy of v1.2.2) "SimCityComplete [SimCity 1.2 + Terrain Editor + Utils + Ancient-Future Cities Packs].lha"	Copied files to HD as per instructions.	
Simon the Sorcerer (AGA)	1994	Adventure	Adventure Soft	HD	NTSC50	A1200		SPS 0898	Has HD installer. The CLI startup instructions are wrong; should use the launch command from startup-sequence on disk 1.	
Simon the Sorcerer (CD32)	1994	Adventure	Adventure Soft	CD	NTSC50	CD32	Best version with sample-based music and digital speech	TOSEC-ISO Simon the Sorcerer (1994)(Adventure Soft)[!].zip		
Soccer Kid (AGA)	1993	Krisalis	Platformer	HD	PAL	A1220	Pressing any key will skip the intro (including pressing Alt+Tab switch to a different window).	SPS 1150	Has HD installer.	
Soccer Kid (CD32)	1994	Krisalis	Platformer	CD	PAL	CD32		TOSEC-ISO Soccer Kid (1994)(Krisalis)(M5)[!].zip		
Soccer Kid (OCS)	1993	Krisalis	Platformer	Floppy	PAL	A500	Multi-language release (English, French, German, Spanish, Italian). Supports four floppy drives; no disk swapping is necessary. Pressing any key will skip the intro (including pressing Alt+Tab switch to a different window).	SPS 1129		4
Space Quest I: The Sarien Encounter (AGI)	1986	Adventure	Sierra	Floppy	NTSC	A500	Floppy game that saves to the hard disk. When save or restoring the game, enter Save: for the volume name, with the semicolon at the end (this is important).	SPS 1484		1
Space Quest II: Vorhaul's Revenge	1988	Adventure	Sierra	HD	NTSC	A500	Has no disk-based protection.	SPS 1053	No HD installer; copied files to HD manually.	
Space Quest III: The Pirates of Pestulon	1989	Adventure	Sierra	HD	NTSC	A500		SPS 0292	Has HD installer.	
Speedball 2: Brutal Deluxe (CD32)	1995	Sports	Bitmap Brothers	CD	PAL	CD32	Needs joystick.	TOSEC-ISO Speedball 2 (1995)(Renegade)[!].zip		
Speedball 2: Brutal Deluxe (OCS)	1990	Sports	Bitmap Brothers	Floppy	PAL	A500	Needs joystick. Uses CopyLock. The 1994 Kixx release used a scene crack (better to avoid it).	SPS 2897		1
Starflight	1989	Adventure	Binary Systems	HD	NTSC	A500	Needs 16x CPU speed; some parts of the game are very slow at stock A500 speeds.  Every time you leave the starport, you will be asked to enter the correct launch codes. This is a form of copy protection; if you enter the wrong code, the game will let you play for a while, but eventually the space police will catch you and will destroy your ship.	SPS 0855	No HD installer; copied files to HD manually (has no disk-based copy protection according to the manual).	
Storm Master	1992	Strategy	Silmaris	Floppy	NTSC50	A500		SPS 0620		1
Street Rod	1990	Racing	PZK	HD	NTSC	A500	Needs to be started from a default 40-column workbench screen otherwise you'll get corrupted graphics on the racing screen.	"Unofficial" CT-RAW dump from the EAB file server.	No HD installer; copied files to HD manually.	
Street Rod 2: The Next Generation	1991	Racing	PZK	HD	NTSC	A500		"Unofficial" CT-RAW dump from the EAB file server.	No HD installer; copied files to HD manually.	
Tass Times in Tonetown	1986	Adventure	Interplay	Floppy	NTSC	A500	Takes a very long time to load, even with warp mode enabled. There's no floppy activity for a long time during loading. Needs 512K Chip RAM only. Use the "start" config that loads a savestate after the loading has finished. Saves to the game disk.	SPS 0390		1
Times of Lore	1989	RPG	Origin	Floppy	NTSC	A500	Saves to the game disk. Needs a joystick.	SPS 2777		1
Total Eclipse	1989	Adventure	Incentive	Floppy	PAL	A500	Saves to the game disk. Uses CopyLock.	SPS 1973		1
Transarctica (AGA)	1993	Strategy	Silmarils	HD	NTSC50	A1200	The first disk must be inserted into DF0: before starting the game to pass the protection check. This is the French release that has multi-language support but assumes an AZERTY keyboard, so the config remaps that to the QWERTY layout (this only affects entering the name of your saved game).	"Unofficial" IPF from the EAB file server.	Copied files to HD as per instructions.	
Treasures of the Savage Frontier	1992	RPG	SSI	HD	NTSC	A500		SPS 0992	No HD installer; copied files to HD manually.	
Uninvited	1987	Adventure	ICOM	Floppy	NTSC	A500	Type Save:YourSavegameName in the dialog when saving the game (you can use any name you like after the Save: part).	Abaddon's "unofficial" IPF image.		1
WaxWorks	1993	Adventure	Horrorsoft	HD	NTSC50	A500		SPS 2274	Has HD installer.	
Windwalker	1990	RPG	Origin	HD	NTSC	A500	8x CPU speed seems to work fine and speed up the game a little.	SPS 1391	No HD installer; copied files to HD manually.	
Wonderland: Dream the Dream...	1990	Adventure	Magnetic Scrolls	HD	PAL	A500		SPS 0277	Has HD installer.	
Zak McKracken and the Alien Mindbenders	1988	Adventure	LucasArts	HD	NTSC	A500	4x CPU speed seems to be fine and helps with the animations a bit.  To start the game, double-click on the ZakMcKracken disk icon, then on the Zak icon.	SPS 0596	Copied files to HD as per instructions.	
